evse_id,postal_cod,latitude,longitude,port_type,ZCTA5CE10,AFFGEOID10,GEOID10,ALAND10,AWATER10
114443.000000000000000,64999.000000000000000,39.076092000000003,-94.587295999999995,Level 2,"64108",8600000US64108,"64108","9405486","4803"
114765.000000000000000,64129.000000000000000,39.051239000000002,-94.494011000000000,Level 2,"64129",8600000US64129,"64129","26844727","165701"
114767.000000000000000,64129.000000000000000,39.047516000000002,-94.486168000000006,Level 2,"64129",8600000US64129,"64129","26844727","165701"
114779.000000000000000,64129.000000000000000,39.047545999999997,-94.486121999999995,Level 2,"64129",8600000US64129,"64129","26844727","165701"
114781.000000000000000,64133.000000000000000,39.052306999999999,-94.472176000000005,Level 2,"64133",8600000US64133,"64133","43132780","234135"
114783.000000000000000,64131.000000000000000,39.005558000000001,-94.577263000000002,Level 2,"64131",8600000US64131,"64131","19261577","34078"
114787.000000000000000,64108.000000000000000,39.073967000000003,-94.586708000000002,Level 2,"64108",8600000US64108,"64108","9405486","4803"
114801.000000000000000,64129.000000000000000,39.051169999999999,-94.494095000000002,Level 2,"64129",8600000US64129,"64129","26844727","165701"
114805.000000000000000,64130.000000000000000,39.042301000000002,-94.531409999999994,Level 2,"64130",8600000US64130,"64130","18655561","17491"
114809.000000000000000,64133.000000000000000,39.052298999999998,-94.471924000000001,Level 2,"64133",8600000US64133,"64133","43132780","234135"
114811.000000000000000,64111.000000000000000,39.065078999999997,-94.583549000000005,Level 2,"64111",8600000US64111,"64111","7051166","0"
114815.000000000000000,64108.000000000000000,39.087783999999999,-94.594573999999994,Level 2,"64108",8600000US64108,"64108","9405486","4803"
114819.000000000000000,64130.000000000000000,39.042282000000000,-94.531409999999994,Level 2,"64130",8600000US64130,"64130","18655561","17491"
114823.000000000000000,64108.000000000000000,39.087803000000001,-94.560867000000002,Level 2,"64127",8600000US64127,"64127","10838122","0"
114839.000000000000000,64133.000000000000000,39.052298999999998,-94.471855000000005,Level 2,"64133",8600000US64133,"64133","43132780","234135"
114861.000000000000000,64112.000000000000000,39.034748000000000,-94.594727000000006,Level 2,"64112",8600000US64112,"64112","3819791","0"
114869.000000000000000,64127.000000000000000,39.093178000000002,-94.554481999999993,Level 2,"64127",8600000US64127,"64127","10838122","0"
114875.000000000000000,64131.000000000000000,38.923926999999999,-94.585967999999994,Level 2,"64114",8600000US64114,"64114","18125338","6621"
114883.000000000000000,64127.000000000000000,39.092503000000001,-94.554077000000007,Level 2,"64127",8600000US64127,"64127","10838122","0"
114887.000000000000000,64118.000000000000000,39.244061000000002,-94.600371999999993,Level 2,"64118",8600000US64118,"64118","33176566","42790"
114929.000000000000000,64112.000000000000000,39.034408999999997,-94.592254999999994,Level 2,"64112",8600000US64112,"64112","3819791","0"
114935.000000000000000,64112.000000000000000,39.034374000000000,-94.592322999999993,Level 2,"64112",8600000US64112,"64112","3819791","0"
114937.000000000000000,64139.000000000000000,38.947299999999998,-94.408905000000004,Level 2,"64065",8600000US64065,"64065","1857013","20042"
114941.000000000000000,64105.000000000000000,39.101680999999999,-94.584586999999999,Level 2,"64105",8600000US64105,"64105","1950214","220454"
114943.000000000000000,64108.000000000000000,39.086863999999998,-94.585341999999997,Level 2,"64108",8600000US64108,"64108","9405486","4803"
114945.000000000000000,64106.000000000000000,39.108845000000002,-94.580771999999996,Level 2,"64106",8600000US64106,"64106","3993364","159794"
114947.000000000000000,64110.000000000000000,39.013190999999999,-94.582245000000000,Level 2,"64110",8600000US64110,"64110","7829737","0"
114957.000000000000000,64105.000000000000000,39.106017999999999,-94.588417000000007,Level 2,"64105",8600000US64105,"64105","1950214","220454"
114977.000000000000000,64108.000000000000000,39.086205000000000,-94.580108999999993,Level 2,"64108",8600000US64108,"64108","9405486","4803"
114999.000000000000000,64111.000000000000000,39.055511000000003,-94.593513000000002,Level 2,"64111",8600000US64111,"64111","7051166","0"
115005.000000000000000,64108.000000000000000,39.082214000000000,-94.582015999999996,Level 2,"64108",8600000US64108,"64108","9405486","4803"
115009.000000000000000,64111.000000000000000,39.046630999999998,-94.591651999999996,Level 2,"64111",8600000US64111,"64111","7051166","0"
115013.000000000000000,64128.000000000000000,39.066265000000001,-94.543114000000003,Level 2,"64128",8600000US64128,"64128","7928289","21129"
115015.000000000000000,64106.000000000000000,39.103180000000002,-94.578995000000006,Level 2,"64106",8600000US64106,"64106","3993364","159794"
115017.000000000000000,64108.000000000000000,39.082211000000001,-94.581992999999997,Level 2,"64108",8600000US64108,"64108","9405486","4803"
115019.000000000000000,64110.000000000000000,39.039169000000001,-94.566749999999999,Level 2,"64110",8600000US64110,"64110","7829737","0"
115031.000000000000000,64108.000000000000000,39.086201000000003,-94.580078000000000,Level 2,"64108",8600000US64108,"64108","9405486","4803"
115071.000000000000000,64108.000000000000000,39.070644000000001,-94.584014999999994,Level 2,"64111",8600000US64111,"64111","7051166","0"
115079.000000000000000,64153.000000000000000,39.317318000000000,-94.698334000000003,Level 2,"64153",8600000US64153,"64153","94859574","986260"
115107.000000000000000,64127.000000000000000,39.088768000000002,-94.520187000000007,Level 2,"64127",8600000US64127,"64127","10838122","0"
115127.000000000000000,64111.000000000000000,39.065102000000003,-94.583618000000001,Level 2,"64111",8600000US64111,"64111","7051166","0"
115145.000000000000000,64108.000000000000000,39.087795000000000,-94.594634999999997,Level 2,"64108",8600000US64108,"64108","9405486","4803"
115147.000000000000000,64128.000000000000000,39.066208000000003,-94.543120999999999,Level 2,"64128",8600000US64128,"64128","7928289","21129"
115149.000000000000000,64110.000000000000000,39.039096999999998,-94.566749999999999,Level 2,"64110",8600000US64110,"64110","7829737","0"
115151.000000000000000,64108.000000000000000,39.082675999999999,-94.572021000000007,Level 2,"64108",8600000US64108,"64108","9405486","4803"
115155.000000000000000,64112.000000000000000,39.038330000000002,-94.592620999999994,Level 2,"64112",8600000US64112,"64112","3819791","0"
115161.000000000000000,64112.000000000000000,39.034697999999999,-94.594734000000003,Level 2,"64112",8600000US64112,"64112","3819791","0"
115171.000000000000000,64106.000000000000000,39.101191999999998,-94.576279000000000,Level 2,"64106",8600000US64106,"64106","3993364","159794"
115175.000000000000000,64106.000000000000000,39.099491000000000,-94.582740999999999,Level 2,"64106",8600000US64106,"64106","3993364","159794"
115261.000000000000000,64106.000000000000000,39.101039999999998,-94.576522999999995,Level 2,"64106",8600000US64106,"64106","3993364","159794"
115267.000000000000000,64106.000000000000000,39.099369000000003,-94.582329000000001,Level 2,"64106",8600000US64106,"64106","3993364","159794"
115269.000000000000000,64156.000000000000000,39.255985000000003,-94.546081999999998,Level 2,"64156",8600000US64156,"64156","36638754","25525"
115277.000000000000000,64106.000000000000000,39.101151000000002,-94.576279000000000,Level 2,"64106",8600000US64106,"64106","3993364","159794"
115281.000000000000000,64108.000000000000000,39.086880000000001,-94.585289000000003,Level 2,"64108",8600000US64108,"64108","9405486","4803"
115297.000000000000000,64105.000000000000000,39.097855000000003,-94.584686000000005,Level 2,"64105",8600000US64105,"64105","1950214","220454"
115301.000000000000000,64105.000000000000000,39.097866000000003,-94.584632999999997,Level 2,"64105",8600000US64105,"64105","1950214","220454"
115303.000000000000000,64105.000000000000000,39.100448999999998,-94.587624000000005,Level 2,"64105",8600000US64105,"64105","1950214","220454"
115309.000000000000000,64105.000000000000000,39.101654000000003,-94.592727999999994,Level 2,"64105",8600000US64105,"64105","1950214","220454"
115325.000000000000000,64111.000000000000000,39.044955999999999,-94.587378999999999,Level 2,"64111",8600000US64111,"64111","7051166","0"
115329.000000000000000,64106.000000000000000,39.099499000000002,-94.582581000000005,Level 2,"64106",8600000US64106,"64106","3993364","159794"
115331.000000000000000,64106.000000000000000,39.101039999999998,-94.576453999999998,Level 2,"64106",8600000US64106,"64106","3993364","159794"
115335.000000000000000,64120.000000000000000,39.131340000000002,-94.480652000000006,Level 2,"64120",8600000US64120,"64120","21217901","1994001"
